Charge Code Description,Rate
CEFTRIAXONE/DEXTROSE PREM,79
MORPHINE PCA PREMIX [30 M,31
ATROPINE SULFATE 1%  DRP,67.5
IBUPROFEN [200MG],3
OSELTAMIVIR PHOSPHATESUSP,7.5
RANITIDINE INJ  [50MG/2ML,40.5
ALBUMIN GRIFOLS INJ 25GM,186
DIBUROCTOZONE-HC CREAM  [,116
INFLIXIMAB [100MG] INJ,"1,691.00"
OCTREOTIDE ACETATE DEPOT INJ [3,"4,939.00"
Adacel / TDaP > 7 IM,119
ATROPINE SULFATE OPTH [1%,87
ERYTHROMYCIN OPTH OINT [3,29.75
HEPARIN FLUSH INJ 3ML [10,3
ACETAMIN/DIPHEN PM TAB [5,3
ACETAZOLAMIDE INJ [500MG],15
CARBAMIDE PEROXIDE 6.5%,9
EYE WASH SOL [118 ML],108
AMIODARONE HCL INJ [150MG,36
PHENYTOIN SOD INJ [250MG/,37.5
HYLAN G-F 20  INJ [2 ML],510
SYSTANE LUBRICANT EYE GTT,15
ACTIVATED CHARCOAL PELLET,54
BUPIVACAIN HCL INJ 10ML [,6.75
BUPIVACAINE HCL/EPI 10ML INJ,11
BUPIVACAINE HCL/EPI 10ML INJ,9.5
LUBRICANT EYE OINT [3.5GM,65.5
LUBRICANT EYE GTTS [15ML],61
AMMONIA INH AMP [0.33ML],3
SCOPAMAMINE OPTH SOL 0.25,9
FLUROSCEIN SOD OPTH STRIP,3
TIMOLOL MALEATE OPTH GTTS,11.25
POTASSIUM CHL PREMIX RIDE,10.5
NESIRITIDE INJ SDV [1.5MG,"1,001.00"
LIDOCAINE INJ 1% 30ML [10,4.5
CEFOXITIN INJ [1GM],17
LEUPROLIDE ACETATE DEPOT INJ 7.5MG,"1,305.00"
PHENYLEPHRINE HCL INJ [10,24
SOD BICARB 4% 5 ML INJ [2,14.25
DOLASTRON MESYLATE INJ [1,62.5
FLUSH-SL [2.5ML],3
NALOXONE INJ [2MG/2ML],103
WATER-STERILE INJ [50ML],5.75
A & D Ointment,15
PROMETHAZINE INJ [50MG/ML,3
TROLAMINE SALICYLTATE CRE,9.75
VALSARTAN HCT TAB [160/12,11.25
ACETAMINOPHEN SOLU [325MG,3
PROCTOSOL OINTMENT [1 OZ],101
CLONIDINE PAT [0.2MG],137
RANITIDINE HCL SYRUP [150,3
DILTIAZEM HCL TAB [60MG],3
DIBUCAINE OINT[28.4GM],17.75
TRIAMCINOLONE LOTION 60 M,64
FENTANYL PAT [12MCG/HR],14.75
MEPERIDINE HCL INJ [100MG,14.75
MEPERIDINE PCA PREMIX  [3,30.5
DIAZEPAM TAB [2MG],3
FENTANYL INJ [100MCG/2ML],3
TEMAZEPAM CAP [30MG],3
CARISOPRODOL TAB [350MG],3
FENTANYL AMP [250MCG/5ML],10
ZOLPIDEM TAB [10MG],3
BUTORPHANOL TART INJ [2MG,20.25
SENNA-TIME TAB [8.6MG],3
GLYBURIDE TAB [5MG],3
LIDOCAINE HCL JELLY [2%/5,21.75
INSTA-GLUCOSE [31GM],16.25
ISOSORBIDE DINITRATE TAB,3
LIDOCAINE OINT 5% [35.44,125
LIDOCAINE STERILE SOL INJ 40MG,17
SEVOFLURANE INHALATION AN,80
BENZOCAINE ORAL ANESTH [2,55
IOHEXOL INJ [180MGI/ML],157
IOHEXOL INJ [300MGI/ML],143
BUPIVACAIN HCL SPINAL INJ,6.75
LIDOCAINE INJ 0.5% [5MG/M,28.25
BUPIVACAIN HCL INJ 150MG,12
FAT EMULSIONS  250ML [20%,57
CEFTRIAXONE/DEXTROSE PREM,70
CEFAZOLIN/DEXTROSE 1GM PREMIX,30.5
CEFOXITIN/DEXTROSE PREMIX,76
DESFLURANE LIQ/INHAL [240,77.5
CLI MEDROXYPROGESTERONE A 150MG INJ,42.25
SOD CHLOR 0.9% PEDI  INJ,6
MIDAZOLAM HCL [10MG/2ML],36.75
CLORAZEPATE DIP [3.75MG],3
FILGRASTIM  INJ [480MCG],719
METHYLERGONOVINEMALEATE 0.2MG INJ,32.25
RECUMBINANT B INJ PEDI/AD (HEP B) 10MCG,163
ACETAMINOPHEN SUPP [325MG,3
ESTROGEN CONJ. INJ [25MG],294
IMMUNE GLOBULIN HUMAN  1500 iu,187
OXYCHLOROSENE SOD WCS [90,22
PROCHLORPERAZINE SUPP [25,3
DARBEPOETIN ALFA INJ [100,859
INDOMETHACIN ER CAP [75 M,8.75
CETIRIZINE HCL ORAL SOL [,3
GLIPIZIDE ER TAB [5MG],3
CORONA  CREAM [2 OZ],4
HALOPERIDOL ORAL SOL CONC,3
BISMUTH SUBSALICYLATE [30,3
FERROUS SULFATE ELIXIR [2,3
CROTALIDAE POLYVALENT [1G INJ,"4,633.00"
CYANIDE ANTIDOTE KIT [1 P,389
DULOXETINE HCL CAP [30 MG,3
CLINDAMYCIN HCL CAP [300,3
TIOTROPIUM BROMIDE INH CA,34.75
IRR - STERILE SALINE [30M,3.5
ZOLEDRONIC ACID INJ [5MG/,507
MIDZALAM INJ [2MG/2ML],3
TETANUS TOXOID IM,132
DSP PK AMOXICILLIN 36 CAP,4.5
DSP PK HYDROCODONE #6 TAB,3
DSP PK CIPROFLOXACIN #6,4.5
DSP PK SULFA/TRIM DS #6,4.5
DSP PK AZITHROMYCIN SUSP,63.25
DSP PK AMOXICILLI/POTASS,64
DSP PK CYCLOBENZAPRINE TA,4.5
DSP PK CLONIDINE #6 TAB [,4.5
LORAZEPAM INTENSOL ORAL C,3
AMOXICILLIN ORAL SUSPENSION 12,11.25
PHENYLEPHRINE HCL OPTH SO,114
BRIMONIDINE TARTRATE OPTH,138
NEOM/POLY/DEX OPTH SUSP [,39.5
TROPICAMIDE OPTH SOL 1%,36.5
FLURBIPROFEN SOD OPTH SOL,21.5
CYCLOPENTOLATE HCL OPTH S,36
METHYLPREDNISOLONE 80MG IM INJ,64.75
CLI METHYLPREDNISOLONE  P 80MG INJ,87
LTA 360 KIT {KIT},22.5
DSP PK PROMETHAZINE SUPP,4.5
MORPHINE SULFATE TAB,3
PHYTONDADONE 1MG INJ,16
ERYTHROMYCIN OPTH OINT NB,15.75
MINOXIDIL,3
PANCRELIPASE CAP [5000 UN,3
CALCIUM CARBONATE TAB,3
NEBIVOLOL TAB [2.5 MG],7
LIDOCAINE 1% VL (10MG),5.75
TRIAMTERENE AND HCTZ TAB,3
SODIUM FERRIC GLUCONATE 62.5MG INJ,116
PROPOFOL INJ (500MG/50),25.25
"HPV VACCINE, TYPES 6,11,16,18",11.25
DSP PK RINDAL CD ELIXIR [,54
"iNJECTION, ADENOSINE, 1 MG",15.25
LABETALOL ING  5MG,13.25
NITROGLYCERIN/ D5W PREMIX,73
INVANZ  VL [1 GRAM],219
ISOVUE INJ 300-399 MG/ML,59.5
CLI METHYLPREDNISOLONE PF,26.5
HYLAN ONE G-F 20  INJ (6M,"1,096.00"
LORAZEPAM ING 2MG,3.25
LORAZEPAM INTENSOL ORAL C,6
CLINIMIX E 4.25/5 IV,132
Flush Heparin 100U/ml 5ml,8.25
METHOHEXITAL SODIUM INJ [,133
BUMETANIDE INJ 1MH/4,3.75
SPIRONOLACTONE TAB [25 MG,3
MEPERIDINE INJ [25 MG/0.5,8.5
FLUCONAZOLE/ SOD CL 200MG PREMI,28
FE GLUCONATE TAB  [325 MG,3
LEVETIRACETAM 500MG Tab,3
FLUZONE HIGH- DOSE IM,162
OCTREOTIDE ACETATE INJ DEPOT 20MG,"3,221.00"
PERMETHRIN CREAM 5% [60 G,40.75
PRIMAXIN INJ 500MG,39.25
TRIAMINIC - D,3
DOPAMINE INJ 400MG,7.75
CHLORPROMAZINE 25MG,4.25
METHADONE TAB [10 MG],3
LIDOCAINE 5GM CREAM,24
DABIGATRAN       ETEXILATE CAP,13.25
PENTAZOCINE AND NALOXONE,4.5
LEUPROLIDE ACETATE DEPOT,"3,544.00"
CORTROSYN .25 MG INJ,148
COLESTIPOL TAB [1 GRAM],3.5
INDIGO CARMINE INJ 8 MG,22.75
NALBUPHINE 10MG INJ,15
COLLAGENASE OINT (30 GRAM,376
DAPTOMYCIN INGJ 500 MG,264
DELTASONE TAB [1 MG],3
LEVOTHYROXINE TAB [112 MC,3
HYDROCOD/ ACET TAB  [10 -,3
HYDROCOD/ ACET TAB,8.75
Lithium 300MG,3
BENZTROPHINE TAB 0.5,3
BUTALBITAL/ACETAMINOPHEN,3
BENEFIBER (5.4 OZ ) POWDE,3
DSP PK HYDROCODONE / A,3
MAGNESIUM SULFATE PREMIX,30.75
CEFUROXIME AXETIL TAB,12.75
GUAIFENESIN DAC [10ML],9
FLUSH HEPARIN SYRINGE 10,0.28
PHENOBARBITAL 120 MG BASE,10.15
MOXIFLOXACIN/ NACL PREMIX,43.75
PROTAMINE SULF 10MG BASE,3.9
DEXAMETHASONE 1MG BASE UN,1.5
DSP PK GUAIFENESIN DAC (6,15
FUROSEMIDE 20MG BASE UNIT,3
ALPRAZOLAM TAB [1MG],6
MIDAZOLAM 10MG BASE UNIT,0.6
CEFTAZIDIME 500MG BASE UN,9.15
TRIAMCINOLONE 10MG B,3.5
BUTORPHANOL TART 1MG BASE,3.25
SODIUM FERRIC GLUCONATE 1,30.8
NEOSTIGMINE 0.5MG BASE UN,7.4
PRIMAXIN 250MG BASE UNIT,31.65
PREDNISOLONE SYR 5MG BASE,1.7
HEPARIN 1000UNT BASE UNIT,1.7
VIT B-1 100MG BASE UNIT,23.4
"EPOETIN ALFA INJ 1,000 UN",28
AMIODARONE HCL 30MG BASE,1.2
MAGNESIUM SULF  VL 500MG,3
CEFAZOLIN 500MG BASE UNIT,3
HYDROCORTISONE 100MG BASE,13.7
ZIPRASIDONE 10MG BASE UNI,32.75
DOPAMINE 40MG BASE UNIT,4.1
ZOLEDRONIC ACID 1MG BASE,520
IRON SUCROSE 1MG BASE UNI,2.2
PHENYTOIN SOD 50MG BASE U,1.55
INFLIXIMAB 10MG BASE UNIT,206.3
NESIRITIDE 0.1MG BASE UNI,"1,334.00"
DIAZEPAM INJ 5MG BASE UNI,6.65
OCTREOTIDE ACETATE 1MG BA,274.4
RALOXIFENE  TAB [60 MG],18.75
DAPTOMYCIN 1MG BASE UNIT,2.05
TUSSIONEX SUSP (10 / 8MG,10.5
BISOPROLOL  (5MG TAB),5
DOLASTRON MESYLATE 10MG B,39.15
HYOSCYAMINE 0.25MG  BASE,69.63
ONDANSETRON 1MG BASE UNIT,1.5
LIDOCAINE  0.5% BASE UNIT,1.25
LIDOCAINE 1% BASE UNIT,1.2
LIDOCAINE  2%  BASE UNIT,0.83
LIDOCAINE  W/ EPI  1% BAS,0.22
DILTIAZEM  BASE UNIT,0.1
RT  ALBUTEROL NEB BASE UN,5
PEGFILGRASTIM SYR   (6MG/,"7,496.00"
ZIPRASIDONE,3
DSP PK PROMETHAZINE #6 TA,4.5
DSP PK TRAMADOL #6 TAB [5,4.5
MAGNESIUM SULFATE PREMIX,15
RT- LEVALBUTEROL NEB BASE,11
MIDAZOLAM 5MG BASE UNIT,1.2
MIDAZOLAM 2MG BASE UNIT,3
SUCCINYLCHOLINE BASE UNIT,1
GATIFLOXACIN OPTH SOLU 0.,215
PILOCARPINE HCL OPTH GTTS,145
NICARDIPINE INJ [25 MG /,54
KETOROLAC VL (60 MG / 2 M,8.25
"Vitamin D 50,000 units",13.5
DRONABINOL 2.5 MG CAP,16.25
CEFTRIAXONE/DEXTROSE   PR,22.75
EPOETIN ALFA INJ 4000 UNT,57
"EPOETIN ALFA INJ 10,000 U",33.4
LIDOCAINE  4% BASE UNIT,1
Renagel 800 MG,13.5
PHYTONADIONE BASE UNIT,7.7
GENTAMICIN PREMIX  [80MG,14.75
Quetiapine 25 mg Tab,3
AGALSIDASE 35 MG VIAL,"6,534.00"
AGALSIDASE 5 MG VIAL,933.6
Prolia Plus,"1,776.00"
IBUPROFEN SUPPOSITORY 400MG,6.75
FLUSH HEPARIN SYRINGE 30,2
POTASSIUM CL 20MEQ BASE U,0.6
PANTOPRAZOLE ORAL SUSPENS,25
LINDANE 1% (2 OZ),184
DEXTROSE 25% INJ (10 ML),34.75
LICE MD,36
BENEFIBER CHEWABLE TABS,3
BRIMONIDINE TARTRATE OPTH,247
ACETAMINOPHEN IV (1000MG,136
INDOMETHACIN CAP (25 MG),3
ORPHENADRINE CITRATE  (60,43
BENAZEPRIL TAB  (10MG),3
CHLORCYCLI PSUEDOFED CODE,4
DEXAMETHASONE 10 MG/ ML (,12.75
DSP PK CHLORCYCLI PSUEDOF,45.75
PEDINOL EZ SWAB,19.5
DEXFERRUM INJ 100 MG/ 2 M,48.75
PROPOFOL INJ (10MG/ ML) 5,66.25
MORPHINE SULFATE SOLUTION,6
MISR 15 MG TAB,3
PANCRELIPASE,3
RIFAMPIN 300 MG,4
aBREVA,59.75
TRICHLOROACETIC ACID,115
STADOL 1MG/ ML,16.75
VARIVAX,192
PNEUMOCOCCAL 13 POLYVALENT IM,305
HEP A PED/ADOL HAVRIX 2DOSE 720 EL U /0.,104
HEMOPHILUS INFLUENZA B PRP-T 4 DOSE IM,45
DTaP/IPV (Kinrix) 4-6YRS IM,159
MENINGOCOCCAL POLYSACCHARIDE (MSPV4) SQ,186
MENINGOCOCAL CONJUGATE (MCV4) IM,189
MMR SQ,139
DTap/Hep B/IPV (Pediarix),155
ROTAVIRUS 3DOSE ORAL,235
DSP PK ZOFRAN 8MG TABS,3
NIthidote,263
Depo -Estradiol,133
THS PEDIARIX,173.1
THS KINRIX,0
THS FLUZONE (3 Yrs or Older),0
THS HAEMOPHILUS B,34.45
THS HEP A (HAVRIX),0
THS HEP B (Ped/Adolescent),11.1
THS GARDASIL,384.1
THS MENNINGOCOCCAL CONJ VACCINE TETRAVAL,0
THS MMR,74.9
THS PNEUMOCOCCAL CONJ 13 (PREVNAR),382.7
THS ROTAVIRUS VACCINE,46.85
THS TDap > 7,91.8
THS VARICELLA,0.1
THS POLIOVIRUS,72.15
THS DTap < 7,52.85
EPI PEN,254
lEVOTHYROXINE 100 MCG,207
LINEZOLID TAB,265
ZOVIRAX 800 mg,4.25
CLARITHROMYCIN 500mg,3
renvela,13
OPTIRAY,122
CYTRA-2,3
HYDROMORPHONE 2MG INJ.,4.25
MARINOL 2.5mg,10.5
FLUZONE PEDIATRIC (COMMERCIAL-PREFILL),67.75
THS FLUZONE TRIVALTE PF PED IM,20
ZOMETA INJ (4MG/5ML),197
CATHFLO ACTIVASE,259
LEVOFLOXACIN 250 mg Oral,3
LEVOFLOXACIN 500 MG IVPB,12
BUDESONIDE NEB SOLT 0.25 MG,30.5
OMNISCAN,181
ROBITUSSIN AC 10 ML UD,4.5
XANAX 1 mg,3
LEVAQUIN IV 750 mg,10.5
TOPIRAMATE,3
MORPHINE solu 10 mg / 0.5 ml,3
WARFARIN (1 MG),3
Levsin Oral Drops,3.5
Neulasta 6 mg Inj,"5,458.00"
CHERATUSSIN DAC,4.5
DEMECLOCYCLINE 300 MG TAB,14.75
DSP PK ROBITUSSIN DAC,13.5
LINEZOLID 600 MG IVPB,143
Questran,8
WELLBUTRIN,3
ZOSYN 2.25gm VL,13
Zosyn 3.375gm VL,16.25
TPN,438
CALADRYL LOTION,17
ISOVUE INJ 300 MG/ML,49.5
Haloperidoll Decanoate,100
VICOPROFEN,3
Merrem,44.5
NEUPOGEN 300mcg,452
AMOXICILLIN 875 mg,3
Mirtazapine tab 15mg,3
Lidoderm 5% Patch,37.5
Tobramycin 40 mg/ml inj,6.75
DSP PK TYLENOL #3,4.5
IMOVAX,417
CEFEPIME 2 grams,29.5
SINGULAR 5MG,4.5
Ondansetron ODT 4 mg,3
IVF SOD CHLORIDE,5
VAC - HEPATITIS B,140
Lidocaine HCL 1%-20ml,4.25
HALOPEIDOL,33.75
VANCOMYCIN 125MG CAP,19.75
BUPIVACAINE,10
TOBRAMYCIN SULFATE OPTH 0.3%,15.25
PHENYLEPHRINE HCL10%,45
PROPARACAINE HCL 0.5%,167
HYLENEX 150 UNITS/ ML,151
ACTIVASE,"12,748.00"
CARDENE,154
DILTIAZEM HCL Inj 25mg/5ml,6
IVF DEXTROSE 10%,3
InfeD,90
CISATRACURIUM BESYLATE,38
FLUTICAS/SALMET MDI( 100/50),217
BREO INH,189
VAC HYPER TET,663
AMIKIN,44.25
Myrbetriq,45.5
Oseltamivir,49
MAG SULFATE 40GRAM,30.5
Augmentin ES Susp,42
MS(10mg/10ml) Duramorph,55.75
Injectafer IV 750mg/15ml,"1,191.00"
TXA,40.25
Sildenafil 20mg,4
Typhoid Vaccine 0.5ml,192
Acetaminophen/Codeine Oral Sol 240mg/24m,3
Amoxicillin/Clavulanate Pot. 875/125mg,3.25
DSP PK - Robitussin AC Syrup,4.5
Lumason Kit,226
BRIDION,207
VAC - Hep A - Adult Dose,123
Nexplanon,"1,272.00"
Mirena,"1,288.00"
VAC DTAP,70
OCTREOTIDE 100 MCG/ML,10.75
SHINGRIX,235
Nitroglycering Ointment 2%-30gm,84
Fludrocortisone,0.37
Ativan Key,0
Vigamox(Moxifloxacin) 0.5% opth. drops,80
Flublok Quadrivalent IM,157
Bupivacaine HCL (PF) Inj. 0.5%-30ml,0.05
INJ MULTIHANCE,129
XYL 1% 5CC VIAL,5.25
TYLENOL/COD LIQ 10CC (,3.15
XYL 1% WITH EPI 5CC VI,5.25
DTAP (DAPTACEL),67.2
NS FLUSH 2CC,3.15
"IV INF,HYDRAT,INIT 31M",275
IV INF TH/PR/DX INIT 1,443.31
IV INF TH/PR/DX EA ADD,45
IV INF TH/PR/DX SEQU U,60
IV INF TH/PR/DX CONCUR,60
TX/PR/DX IV PUSH SGL I,123
IVF SOD CL 0.45% [500 ML],3.5
IVF DEX 5%/ 0.45% SOD CL,3.5
IVF DEX 5%/ 0.45% SOD CL,4.75
IVF POT CL/ D5 0.45% NACL,4
IVF POT CL/ D5 0.45% NACL,30
IVF DEX5%/0.2%SOD CL [250,4.75
IVF DEX 5%/ 0.2% SOD CL [,3.5
IVF DEX5 5%/0.2%SOD CL [1,6
IVF DEX 5%/ LACT RING [10,4.75
IVF LACTATED RINGERS 1000ML,4.5
IVF DEX 5%/ 0.9% SOD CL [,4.75
IVF DEXTROSE 5% [100 ML],4.25
IVF DEXTROSE 5% [1000 ML],4.75
IVF DEXTROSE 10%  [500ML],4.25
IVF DEXTROSE 5% [250 ML],13
IVF DEXTROSE 5% [500 ML],3.25
IVF DEXTROSE 5% [50 ML],4
IVF D5NS  [ 500ML],5
IVF LACTATED RINGERS[500M,10.5
IVF SOD CL 0.45% [1000 ML,5
IVF SOD CL 3%  HYPERTONIC,10.5
IVF SOD CL 0.9% [1000 ML],14.5
IVF SOD CL 0.9% [100 ML],27
IVF SOD CL 0.9% [250 ML],3.25
IVF SOD CL 0.9% [50 ML],6
IVF SOD CL 0.9% [500 ML],3.25
IVF NS [100ML],60
IVF POT CL/ NACL 0.9% PRE,4.25
IV START KIT,16.65
IV PLUM TUBE Y-BLOOD GRAV,20.11
IVF NS MINIBAG+,9.75
IV PLUM TUBING Y-BLOOD ST,69
IV TUBING PRIMARY SET,13
IV CATHETER PLUS 16G,3
IVF D5 NS 1000ML,3
IVF DEXTR 5% 500ML EXCEL,5
IV EMPTY CONTAINER 1000ML,3
IV MACROBORE EXTENSION SET,12
IV 20GX1.25 PROTECTIV PLUS,3.35
"IV 22GX1"" PROTECTIV PLUS",3.35
"IV 24GX.75"" PROTECTIV PLUS",3.68
IV CATHETER PLUS 18G,3.68
IV EXTENSION MINIBORE SET,4.4
"IV CATH 22G X 1"" CLOSED SYSTEM NEXIVA",9.54
"IV CATH 20G X 1"" CLOSED SYSTEM NEXIVA",12.44
"IV CATH 20G X 1.25"" CLOSED SYSTEM NEXIVA",12.44
IV BLOOD TUBING PRIMARY,40.88
IV 1.2 MICRON FILTERED EXT SET,12.62
TUBE TRACHEAL PED 3.5 0,97.35
TUBE TRACH 10 LPC SHILEY,134.88
SUTURES ALL,12
SPANDAGE #2,1
SPANDAGE #3,1
TUBE TRACH 4 LPC SHILEY,131.53
SPANDAGE #6,2
TUBE TRACH 6 LPC SHILEY,131.68
TUBE TRACH 8 LPC SHILEY,131.68
DRESSING ADAPTIC 3X8 1PK,3.08
GOWN ADD A SLEEVE,15.3
AIRWAY 90MM ADULT,1
AIRWAY 100MM ADULT,1
AIRWAY 80MM ADULT,1
DRESSING ALLEVYN ADHE 3X3,11.12
DRESSING ALLEVYN ADHE 5X5,18.6
BAG URINARY DRAINAGE,11.8
BAG FLATUS,5.44
BANDAGE ACE 2 INCH,1.44
BANDAGE ACE 3 INCH,1.96
BANDAGE ACE 4 INCH,3.28
BANDAGE ACE 6 INCH,3.48
BASIN BATH SITZ PLASTIC,14.44
BELT RIB UNIVERSAL MEN,30.12
BELT RIB UNIVERSAL WOMEN,30.12
MESH PREFIX MED PLUG,602.5
TROCAR ENDO H12LP BLUNT T,205.25
SUPPORT ANKLE DELUXE MED,36.05
BREATHING CIRCUIT ADULT,14.84
SYRINGE BLUE BULB,3.88
CATHETER COUDE 22FR 5CC,36.16
CATHETER  GLV SUCTION KIT,3.12
CATHETER FOLEY 24FR 5CC,15.16
CATHETER ALL PURPOSE 10FR,4.2
CATHETER ALL PURPOSE 18FR,1.68
CATHETER COUDE 12FR 5CC,36.16
CATHETER SUCTION DELEE,11.76
TRAY CATHETER MULTI-LUMEN,151.98
CATHETER SUCT 18FR,1.12
CATHETER SUCT 10FR,1.04
CATHETER COUDE 14FR 5CC,36.16
CATHETER SUCT 14FR,1.04
ENDO CATCH 10MM POUCH,474.75
CATHETER ALL PURPOSE 12FR,1.68
CATHETER ALL PURPOSE 16FR,1.68
CATHETER FOLEY 14FR 5CC,16.12
CATHETER FOLEY 16FR 5CC,15.16
CATHETER FOLEY 18FR 30CC,17.4
CATHETER FOLEY 20FR 30CC,16.96
CATHETER COUDE 20FR 5CC,39.24
CAUTERY CORD LAPAROSCOPIC,427.5
CAUTERY BLADE EXTENSION,12.3
AIRWAY 70MM CHILD,1
COLLAR CERVICAL FOAM LG,14.16
COLLAR CERVICAL FOAM MED,14.16
SPLINT FINGER BB 2-13/16,5.96
SPLINT FINGER COT PAD 3,3.32
CATHETER COUDE 18FR 30CC,38.84
DRESSING DUODERM X-TH 4X4,16.6
CATHETER PLUG,2.04
DERMABOND ADHESIVE,9.5
PRESSURE INFUSOR DISPOS,36.3
BAG URINARY LEG DISPO,7.88
STAPLER DISPOS 5 COUNT,17.16
TRAY SUPRAPUBIC CATH 12FR,136.88
DRESSING OP-SITE 5X4,3.36
DRESSING DUODERM X-TH 3X3,14.2
DRESSING DUODERM XTHN 6X6,28.04
DRESSING DUODERM THIK 4X4,21.08
TRACH TUBE HOLDER,10.52
ENDO DISSEC BLUNT KITNER,61.92
ENDO PROBE PISTOL HANDLE,169.73
DRESSING DUODERM SIG 4X4,21.64
ENDO MULTICLIP APPL ER420,289.05
COLLAR NO-NECK C-ADULT,18.44
ELECTRODES FAST PCH ADULT,64.72
TUBE FEEDING INFANT 5FR,3.68
TUBE FEEDING PEDI 8FR,3.36
JACKSON PRATT DRAIN FLAT,25.12
SPECIMEN MUCOUS TRAP 40CC,4.2
FRED ANTIFOG DEVICE,22.14
GAUZE 4X4 STERILE,1
CAUTERY POLYHESIVE GD PAD,11.04
PACK PERI-GYN,21.76
PROTECTOR HEEL/ELBOW,14.64
RESTRAINT WRIST DBL STRAP,12.36
TED HOSE THIGH XL REG,30.16
DRESSING DUODERM XTHN 2X4,12.6
ICE PACK PERSONAL STY DRY,6.68
"GAUZE PLAIN PK 2"" X 5 YD",16.5
AIRWAY 110MM ADULT,1.64
ARM BOARD INFANT,5.88
BVM INFANT,44.03
CATHETER SUCT 8FR,1.04
GAUZE IODOFORM 1/4INX5YD,12.32
TRAY IRRIGATION 50CC,4.84
DRESSING ADAPTIC 3X8 3PK,4.92
GAUZE IODOFORM 2INX5YD,19.56
JACKSON PRATT BULB RESV,23.72
NEEDLE JAMSHIDI 18GA BONE,53.1
DRESSING CONFORM ST 2IN,1.2
DRESSING CONFORM ST 3IN,1.2
DRESSING CONFORM ST 4IN,1.32
TED HOSE KNEE LG REG,21.04
"IMMOBILIZER KNEE UNIV 19""",51.63
MESH PRESHA W/KEYHOLE 2X4,196.9
MESH 3X6,190.15
MESH 6X6,349.35
SUPPORT ANKLE ORTHO II LF,57.75
IMMOBIL SHOULDER WOMEN LG,23.96
SUPPORT ANKLE ELASTIC LG,9.08
TED HOSE KNEE LG LONG,21.04
BLANKET BODY LOWER,22.32
MESH MARLEX 10X14,412.8
MAYO COVER,3.5
IMMOBIL SHOULDER WOMEN MD,26
TED HOSE THIGH MED LONG,30.16
GAUZE PLAIN PK 1INX5YD,11.76
GAUZE PLAIN PK 1/4INX5YD,9.16
COLOSTOMY PASTE STOMAHES,25.36
EYE PAD OVAL SMALL,1
DRESSING SURGIPAD 5X9 COM,1
DRESSING SURGIPAD 7-1/2X8,1
PEAK FLOW METER,34.44
BREATHING CIRCUIT PEDI,18.88
ARM BOARD PEDI,4.48
SPLINT COCKUP PEDI LEFT,24.08
SPLINT COCKUP PEDI RIGHT,24
TUBE GASTRO KIT 24FR 20CC,99.39
TRAY PERITONEAL LAVAGE,69.93
ENDO PADDLE RETRAR 12M,750.78
SYRINGE PISTON 70 CC,7.16
ELECTRODE 6PK,6.55
TRAY PLEURVAC CHEST DRAIN,80.94
SUCTION POOLE INSTRUMENT,5.8
POST OP SHOE WOMEN SMALL,29.48
"SPLINT FINGER PROTECT 3""",5.64
STAPLER GIA 75MM STAPLER,415.33
STAPLES GIA 75MM RELO BLUE TCR75,221.48
EGGCRATE 33X72,33.32
CANNULA NASAL DUAL LUMEN,15.72
DRESSING KERLIX ST 4.5,3.32
SHAMPOO NO RINSE,3
SUCTION SIGMOIDOSCOPTIC,13.12
SLING ARM XS,8.36
SLING ARM LG,6.88
TED HOSE KNEE SM REG,21.04
IMMOBIL SHOULDER WOMEN SM,21.4
SPANDAGE #8,3.25
SPLINT FINGER PADDED 6,3.6
GAUZE 4X4 RAYTEC SPONGE,1.89
STERI-STRIP 1/2 INCH,4.32
STERI-STRIP 1/4 INCH,4.32
STERI-STRIP 1/8 INCH,3.15
COLOSTOMY WAFER 1-1/2,17.16
CATHETER LEG STRAP,14.44
SPLINT CLAVICLE LG,23.2
SPLINT CLAVICLE XL,20.92
SPLINT CLAVICLE SM,20.24
STYLETTE ADULT,13.16
SUPPORT ANKLE ORTHO II RT,57.75
SUPPORT SACRO-LUMBAR SM,54.92
COLOSTOMY WAFER 1-1/4,17.16
DRESSING SURGIPAD 8X10 CO,1
BLANKET BODY UPPER,35.52
SURGICEL HEMOSTAT 4X8,166.68
SURGICEL HEMOSTAT .05X2 I,64.35
ENDO SURGINEEDLE 120MM,69.76
TRAY SUTURE RMVL DISP,3
CATHETER PERINEA 4.5FR IN,61.88
TED HOSE KNEE XL REG,21.04
TED HOSE THIGH XL LONG,30.16
DRESSING TEGADERM IV 4 IN,3.64
TELEMETRY POUCH,3.6
TED HOSE THIGH LG REG,30.16
TRACH TUBE HOLDER,9.6
TRAY CENTRAL LINE DRESS,24.76
TRAY CATHETER ADD-A-CATH,20.32
TRAY ANESTHESIA SPINAL,59.4
TRAY CATHETER FOLEY 16FR,57
TRAY CATHETER FOLEY 18FR,35.04
TRAY THORA/PARACENTESIS,137.94
TRAY CATHETER URETE 15FR,8.88
TRAY SKIN PREP EXIDINE,14.5
TRAY LUMBAR PUNCTURE PEDI,48.41
TRAY GASTRIC LAVAGE 34FR,128.03
TRAY LUMBAR PUNCTURE AD,47.64
TRAY GAUZE 4X4 ST 10CT,1.8
BANDAGE TRIANGULAR,2.52
TUBE TRACH CUFFED 8.0,6.32
TUBE RECTAL 24FR,3.16
TUBE SALEM SUMP 18FR,8.52
