CDM Item Number,Revenue Code,Service ID,Service Mod1,Service Mod2,Service Mod3,Service Mod4,Service Description,Gross Charge,Discounted Cash Price,Minimum Negotiated Charge,Maximum Negotiated Charge,Payer Negotiated Charge: Aetna (Plan: All),Payer Negotiated Charge: Aetna Better Health of IL Illinicare (Plan: All),Payer Negotiated Charge: Blue Cross Blue Shield of IL (Plan: All),Payer Negotiated Charge: Blue Cross Blue Shield of IL MCD Rep (Plan: All),Payer Negotiated Charge: Cigna PPO (Plan: All),Payer Negotiated Charge: Health Alliance Medical Plans (Plan: All),Payer Negotiated Charge: Healthlink Inc. HMO (Plan: All),Payer Negotiated Charge: Healthlink PPO (Plan: All),Payer Negotiated Charge: IlliniCare MCD Rep DOS prior to 120120 (Plan: All),Payer Negotiated Charge: Medicaid Illinois (Plan: All),Payer Negotiated Charge: Medicare A IL J6 (Plan: All),Payer Negotiated Charge: Medicare B IL J6 (Plan: All),Payer Negotiated Charge: Meridian Health Plan of IL (Plan: All),Payer Negotiated Charge: Molina Healthcare of IL MCD Rep (Plan: All),Payer Negotiated Charge: Multiplan Inc. for American Family (Plan: All),Payer Negotiated Charge: United Healthcare (Plan: All)
816380,,12021,,,,,HC ED WND TX SUPER DEH W/PACK,558,558,,,,,,,,,,,,,,,,,,
816384,,57180,,,,,HC ED TX VAGINAL BLEEDING,344,344,,,,,,,,,,,,,,,,,,
816390,,28475,,,,,HC ED TX FX METATARSAL CLSD W/MANIP EA,512,512,,,,,,,,,,,,,,,,,,
816391,,31502,,,,,HC ED CHNG TUBE TRACH NO FISTULA TRACT,354,354,,,,,,,,,,,,,,,,,,
816400,,24577,,,,,HC ED FX CONDYLAR CLSD W MANIP,1110,1110,,,,,,,,,,,,,,,,,,
816402,,23030,,,,,HC ED I&D ABSCESS HEMATOMA SHOULDER,856,856,,,,,,,,,,,,,,,,,,
816404,,27532,,,,,HC ED FX TIBIA PROX CLSD TX W SKEL TRAC,602,602,,,,,,,,,,,,,,,,,,
816405,,27825,,,,,HC ED CLSD TMT FAC DIST TIB W SKEL TRAC,1106,1106,,,,,,,,,,,,,,,,,,
816411,,20525,,,,,HC ED RMVL FB MUSCLE/TDN SHEATH DEEP/COMP,445,445,,,,,,,,,,,,,,,,,,
816416,,27503,,,,,HC ED CLSD SPRCNDYLR/TRNSCDLR FEM FX W/MNPJ,1642,1642,,,,,,,,,,,,,,,,,,
816433,,816433,,,,,HC RECOVERY PHASE II PER MIN OPTIME,19.25,19.25,,,,,,,,,,,,,,,,,,
816438,,816438,,,,,HC OR SURGERY LEVEL 1 PER MIN,53,53,,,,,,,,,,,,,,,,,,
816439,,816439,,,,,HC OR SURGERY LEVEL 2 PER MIN,53,53,,,,,,,,,,,,,,,,,,
816440,,816440,,,,,HC OR SURGERY LEVEL 3 PER MIN,53,53,,,,,,,,,,,,,,,,,,
816441,,816441,,,,,HC OR SURGERY LEVEL 4 PER MIN,69,69,,,,,,,,,,,,,,,,,,
816443,,816443,,,,,HC OR SURGERY LEVEL 5 PER MIN,69,69,,,,,,,,,,,,,,,,,,
816444,,816444,,,,,HC ANS GENERAL PER MIN,22,22,,,,,,,,,,,,,,,,,,
816451,,97535,,,,,HC TRAIN SELF CARE EA 15 MIN PT,144,144,,,,,,,,,,,,,,,,,,
816466,,26770,,,,,HC ED DISLOC FINGER IP CLOSED TX NO ANESTH,566,566,,,,,,,,,,,,,,,,,,
816549,,L3762,,,,,HC EO PREFAB RIGID WO JNTS,484.25,484.25,,,,,,,,,,,,,,,,,,
816552,,L3765,,,,,HC EWHFO RIGID W/O JNTS CF,369,369,,,,,,,,,,,,,,,,,,
816558,,97018,,,,,HC PARAFFIN BATH PT,104.75,104.75,,,,,,,,,,,,,,,,,,
816567,,97018,,,,,HC PARAFFIN BATH OT,104.5,104.5,,,,,,,,,,,,,,,,,,
816695,,816695,,,,,HC MESALT 4X4,9.75,9.75,,,,,,,,,,,,,,,,,,
816734,,816734,,,,,HC ADULT NRB MASK,23.25,23.25,,,,,,,,,,,,,,,,,,
816821,,49082,,,,,HC PARACENTESIS ABD WO GUIDANCE,880,880,,,,,,,,,,,,,,,,,,
816823,,49083,,,,,HC PARACENTESIS ABD W GUIDANCE,980,980,,,,,,,,,,,,,,,,,,
816830,,94726,,,,,HC PLETHYSMOGRAPHY FOR LUNG VOLUMES,106,106,,,,,,,,,,,,,,,,,,
816833,,94729,,,,,HC DIFFUSING CAPACITY,227,227,,,,,,,,,,,,,,,,,,
816848,,78226,,,,,HC HEPATOBILIARY SYSTEM IMAGING,1291,1291,,,,,,,,,,,,,,,,,,
816849,,78227,,,,,HC HEPATOBIL SYST IMAGE W/DRUG,1744,1744,,,,,,,,,,,,,,,,,,
816850,,78582,,,,,HC LUNG VENTILAT&PERFUS IMAGING,1861,1861,,,,,,,,,,,,,,,,,,
816853,,10121,,,,,HC ED REMOVAL FOREIGN BODY SUBQ COMPLEX,850,850,,,,,,,,,,,,,,,,,,
816854,,11000,,,,,HC ED DEBRIDE SKIN INFEC/ECZ < 10% BODY SUR,491,491,,,,,,,,,,,,,,,,,,
816856,,11010,,,,,HC ED DEBRIDE FX/DISLOC OPN SKIN SUBQ,491,491,,,,,,,,,,,,,,,,,,
816857,,11011,,,,,HC ED DEBRIDE ASSOC FX/DISLOC SKIN MUSCLE,491,491,,,,,,,,,,,,,,,,,,
816858,,11012,,,,,HC ED DEBRIDE REMV FB OPEN FX DISL MUS BONE,491,491,,,,,,,,,,,,,,,,,,
816859,,11043,,,,,HC ED DEBRIDE MUSC FASCIA 1ST 20 CM OR LESS,589,589,,,,,,,,,,,,,,,,,,
816862,,11046,,,,,HC ED DEBRIDE MUSCLE EA ADD 20 CM,589,589,,,,,,,,,,,,,,,,,,
816866,,11200,,,,,HC ED REMOVAL SKIN TAGS <= 15 LESIONS,210,210,,,,,,,,,,,,,,,,,,
816867,,11402,,,,,HC ED RMVL LESN BENIGN TK/EXTRM 1.1-2CM,418,418,,,,,,,,,,,,,,,,,,
816868,,11403,,,,,HC ED RMVL LESN BENIGN TK EXTRM 2.1-3CM,593,593,,,,,,,,,,,,,,,,,,
816869,,11420,,,,,HC ED EXC SKIN BENIGN <=0.5CM SCLP/NK/HND/FT,424,424,,,,,,,,,,,,,,,,,,
816870,,11422,,,,,HC ED EXC SKIN BENIGN SC/NK/HD/FT 1.1-2.0CM,649,649,,,,,,,,,,,,,,,,,,
816874,,14040,,,,,HC ED ADJ TISSUE TRANS FACE/HD/FT <=10SQ CM,2476,2476,,,,,,,,,,,,,,,,,,
816879,,20600,,,,,HC ED DRAIN/INJECT SMALL JOINT/BURSA,122,122,,,,,,,,,,,,,,,,,,
816892,,24565,,,,,HC ED TX  FX HUMERAL EPICON CLSD W MANIP,1080,1080,,,,,,,,,,,,,,,,,,
816894,,24605,,,,,HC ED TX FX ELBOW DISL CLSD W ANS,958,958,,,,,,,,,,,,,,,,,,
816895,,24620,,,,,HC ED TX FX ELBOW DISL CLSD W MANIP,1128,1128,,,,,,,,,,,,,,,,,,
816896,,24675,,,,,HC ED TX FX ULNAR PROX W MANIP,922,922,,,,,,,,,,,,,,,,,,
816898,,25535,,,,,HC ED TX FX ULNAR SHFT CLSD W MANIP,984,984,,,,,,,,,,,,,,,,,,
816900,,25606,,,,,HC ED TX DSTL RADIAL FX OR EPIPHYSL SEP,1346,1346,,,,,,,,,,,,,,,,,,
816903,,25675,,,,,HC ED TX RADULN DISTL DISL CLSD MANIP,812,812,,,,,,,,,,,,,,,,,,
816904,,25680,,,,,HC ED TX FX SCAPHOPERILUNAR CLSD W MANIP,1062,1062,,,,,,,,,,,,,,,,,,
816907,,26705,,,,,HC ED TX FX MCP DISL CLSD W ANS,842,842,,,,,,,,,,,,,,,,,,
816913,,27232,,,,,HC ED TX FX FEM PROX NECK CLSD W MANIP,1548,1548,,,,,,,,,,,,,,,,,,
816917,,27256,,,,,HC ED TX HIP DISL SPONT W/O MANIP OR ANS,624,624,,,,,,,,,,,,,,,,,,
816921,,27502,,,,,HC ED TX FX FEM SHFT CLSD W MANIP,1564,1564,,,,,,,,,,,,,,,,,,
816922,,27510,,,,,HC ED TX FX FEM CONDY CLSD W MANIP,1396,1396,,,,,,,,,,,,,,,,,,
816925,,27752,,,,,HC ED TX FX TIBIA SHFT CLSD W MANIP,1082,1082,,,,,,,,,,,,,,,,,,
816931,,28405,,,,,HC ED TX FX CALCANEAL CLSD W MANIP,776,776,,,,,,,,,,,,,,,,,,
816932,,28495,,,,,HC ED TX FX PHALANX TOE GREAT W MANIP,352,352,,,,,,,,,,,,,,,,,,
816938,,29126,,,,,HC ED APPLIC SPLINT SHORT ARM DYNAMIC,269,269,,,,,,,,,,,,,,,,,,
816939,,29131,,,,,HC ED APPLIC SPLINT FINGER DYNAMIC,184,184,,,,,,,,,,,,,,,,,,
816940,,29345,,,,,HC ED APPLIC CAST LONG LEG,684,684,,,,,,,,,,,,,,,,,,
816944,,29705,,,,,HC ED REMV CAST FULL ARM LEG,313,313,,,,,,,,,,,,,,,,,,
816953,,36555,,,,,HC ED INSERT NON TUNNELED CVC <5YR,368,368,,,,,,,,,,,,,,,,,,
816960,,36680,,,,,HC ED INTEROSSEOUS NEEDLE PLACEMENT,493,493,,,,,,,,,,,,,,,,,,
816963,,40800,,,,,HC ED I&D ABCESS VESTIBULE MOUTH SMPL,404,404,,,,,,,,,,,,,,,,,,
816972,,46050,,,,,HC ED I&D ABCESS PERIANAL,428,428,,,,,,,,,,,,,,,,,,
816974,,54450,,,,,HC ED MANIPULATION FORESKIN,140,140,,,,,,,,,,,,,,,,,,
816975,,54700,,,,,HC ED I&D EPIDIDYMIS TESTIS SCROTUM,440,440,,,,,,,,,,,,,,,,,,
816980,,59414,,,,,HC ED DELIVERY PLACENTA,1430,1430,,,,,,,,,,,,,,,,,,
816984,,69005,,,,,HC ED DRAINAGE EXT EAR ABSCESS COMP,428,428,,,,,,,,,,,,,,,,,,
816987,,94761,,,,,HC ED NONINVASIVE OXYGEN SATURATION MULT,265,265,,,,,,,,,,,,,,,,,,
816988,,94762,,,,,HC ED NONINVAS OXYGEN SATURATION CONT,505,505,,,,,,,,,,,,,,,,,,
816989,,99175,,,,,HC ED INDUCTION OF VOMITING,126,126,,,,,,,,,,,,,,,,,,
817083,,817083,,,,,HC CIRCUIT BREATHING,91.5,91.5,,,,,,,,,,,,,,,,,,
817120,,97761,,,,,HC PROSTHETIC TRAIN EXTREM EA 15 MIN OT,103,103,,,,,,,,,,,,,,,,,,
817121,,97533,,,,,HC SENSORY INTEGRATIVE DEVEL 15 MIN OT,103,103,,,,,,,,,,,,,,,,,,
817122,,97546,,,,,HC WORK HARDENING EA ADDL HR OT,264,264,,,,,,,,,,,,,,,,,,
817123,,97545,,,,,HC WORK HARDENING INITIAL 2 HRS OT,608,608,,,,,,,,,,,,,,,,,,
817124,,36569,,,,,HC ED INSERT PICC PER WO SQ PT >=5YRS,2206,2206,,,,,,,,,,,,,,,,,,
817125,,40654,,,,,HC ED REPAIR LIP OVER ONE HALF VERT HT,1142,1142,,,,,,,,,,,,,,,,,,
817149,,90834,,,,,HC PSYCHOTHERAPY W PT 45 MIN,210,210,,,,,,,,,,,,,,,,,,
817340,,82962,,,,,HC LAB GLUCOSE BLD POCT (IP),39,39,,,,,,,,,,,,,,,,,,
817349,,G0283,,,,,HC ELEC STIM UNATTENDED NON WOUND OT,189,189,,,,,,,,,,,,,,,,,,
817362,,25624,,,,,HC ED TX FX CARPAL SCAPHOID CLSD W/ MANIP,966,966,,,,,,,,,,,,,,,,,,
817363,,27781,,,,,HC ED FX FIBULA PROXML CLSD TX & MANIP,868,868,,,,,,,,,,,,,,,,,,
817365,,29065,,,,,HC ED APPLIC CAST LONG ARM,428,428,,,,,,,,,,,,,,,,,,
817367,,29405,,,,,HC ED APPLIC CAST SHORT LEG,570,570,,,,,,,,,,,,,,,,,,
817368,,31505,,,,,HC ED LARYNGOSCOPY INDIRECT DIAGNOSTIC,170,170,,,,,,,,,,,,,,,,,,
817371,,40652,,,,,HC ED RPR LIP FULL THICK TO HALF HT VERTCAL,1002,1002,,,,,,,,,,,,,,,,,,
817372,,40831,,,,,HC ED CLOSURE LAC VESTIBULE MOUTH >2.5CM,698,698,,,,,,,,,,,,,,,,,,
817451,,J0696,,,,,HC CEFTRIAXONE SODIUM INJ PER 250MG,22,22,,,,,,,,,,,,,,,,,,
817452,,J0702,,,,,HC BETAMETHASONE ACET&SOD PHOSP,8,8,,,,,,,,,,,,,,,,,,
817454,,J1030,,,,,HC METHYLPREDNISOLONE 40 MG INJ,14,14,,,,,,,,,,,,,,,,,,
817455,,J1040,,,,,HC METHYLPREDNISOLONE 80 MG INJ,26.75,26.75,,,,,,,,,,,,,,,,,,
817456,,J1055,,,,,HC MEDROXYPROGESTER ACETATE INJ,83,83,,,,,,,,,,,,,,,,,,
817458,,J1100,,,,,HC DEXAMETHASONE SODIUM PHOS,65,65,,,,,,,,,,,,,,,,,,
817460,,J1885,,,,,HC KETOROLAC TROMETHAMINE INJ PER 15MG,75,75,,,,,,,,,,,,,,,,,,
817463,,J2550,,,,,HC PROMETHAZINE HCL INJ TO 50MG,25,25,,,,,,,,,,,,,,,,,,
817465,,J2920,,,,,HC METHYLPREDNISOLONE SOD SUCC <= 40MG,35,35,,,,,,,,,,,,,,,,,,
817466,,J2930,,,,,HC METHYLPREDNISOLONE SOD SUCC <= 125MG,53,53,,,,,,,,,,,,,,,,,,
817468,,J3301,,,,,HC TRIAMCINOLON ACETONID NOS 10 MG INJ,44,44,,,,,,,,,,,,,,,,,,
817469,,J3420,,,,,HC VITAMIN B12 INJ TO 1000MCG,10,10,,,,,,,,,,,,,,,,,,
817559,,817559,,,,,HC KIT LTA,24,24,,,,,,,,,,,,,,,,,,
817623,,817623,,,,,HC SAMPLE LINE W TRAP CAPNOGRAPHY,6,6,,,,,,,,,,,,,,,,,,
817633,,L3984,,,,,HC UPPER EXT FX ORTHOSIS WRIST PREFAB,70.25,70.25,,,,,,,,,,,,,,,,,,
817655,,11719,,,,,HC ED TRIM NAILS NONDYSTROPHIC,113,113,,,,,,,,,,,,,,,,,,
817660,,23930,,,,,HC ED ID ABSCESS HEMATOMA HUMERUS,706,706,,,,,,,,,,,,,,,,,,
817663,,25270,,,,,HC ED RPR TNDN MSCL EXTENS FORARM/WRST,998,998,,,,,,,,,,,,,,,,,,
817669,,27603,,,,,HC ED ID ABSCESS HEMATOMA ANKLE,1064,1064,,,,,,,,,,,,,,,,,,
817673,,36420,,,,,HC ED VENIPUNCTURE CUTDOWN <1YR,102,102,,,,,,,,,,,,,,,,,,
817674,,41000,,,,,HC ED ID IO ABSCESS TNG FLOOR MOUTH LING,312,312,,,,,,,,,,,,,,,,,,
817676,,41007,,,,,HC ED ID IO ABSCESS TNG FLOOR MTH SUBMENTAL,662,662,,,,,,,,,,,,,,,,,,
817677,,41008,,,,,HC ED ID IO ABSCESS TNG FLOOR MTH SUBMANDIB,754,754,,,,,,,,,,,,,,,,,,
817678,,41009,,,,,HC ED ID IO ABSCESS TNG FLOOR MTH MASTICATR,810,810,,,,,,,,,,,,,,,,,,
817687,,57160,,,,,HC ED FIT OR INSERT PESSARY,269,269,,,,,,,,,,,,,,,,,,
817689,,64400,,,,,HC ED INJ AA STRD NERVE TRIGEMINAL,385,385,,,,,,,,,,,,,,,,,,
817690,,69020,,,,,HC ED ID ABCESS AUDITORY CANAL EXT,446,446,,,,,,,,,,,,,,,,,,
817854,,81002,,,,,HC LAB URINALYSIS POCT (IP) BEAKER,22,22,,,,,,,,,,,,,,,,,,
817898,,90662,,,,,HC FLU VACC PRSV FREE INC ANTIG IM,39,39,,,,,,,,,,,,,,,,,,
817938,,817938,,,,,HC RB MDB,0,0,,,,,,,,,,,,,,,,,,
817940,,11305,,,,,HC ED SHAVE LESION SCLP/NK/HND/FT <=0.5CM,165,165,,,,,,,,,,,,,,,,,,
817942,,11721,,,,,HC ED DEBRID OF NAILS 6 OR MORE,150,150,,,,,,,,,,,,,,,,,,
817949,,20553,,,,,HC ED INJ TRIGGER PT >= 3 MUSCLES,226,226,,,,,,,,,,,,,,,,,,
817964,,26775,,,,,HC ED  TX DISLOC IPJ CLSD W/MANIP ANS,768,768,,,,,,,,,,,,,,,,,,
817969,,27830,,,,,HC ED  TX DISLC TIBIOFIB PROX W/O ANS,774,774,,,,,,,,,,,,,,,,,,
817971,,28455,,,,,HC ED  TX FX TARSAL W/ MANIP EA,574,574,,,,,,,,,,,,,,,,,,
817972,,28570,,,,,HC ED  TX DISLC TALOTARSAL CLSD W/O ANS,452,452,,,,,,,,,,,,,,,,,,
817974,,29086,,,,,HC ED APPLIC CAST FINGER,238,238,,,,,,,,,,,,,,,,,,
817980,,31525,,,,,HC ED  LARYNGOSCOPY DIRECT DX,496,496,,,,,,,,,,,,,,,,,,
817983,,31575,,,,,HC ED LARYNGOSCOPY FLEX DIAGNOSTIC,493,493,,,,,,,,,,,,,,,,,,
817991,,36600,,,,,HC ED  ARTERIAL PUNC AND WITHDRAWAL,155,155,,,,,,,,,,,,,,,,,,
818023,,64831,,,,,HC ED  SUTURE NRVE DIGITAL HAND FT SNGL,385,385,,,,,,,,,,,,,,,,,,
818027,,96371,,,,,HC ED  SUBQ INF ADD PUMP SETUP NEW SITE,115,115,,,,,,,,,,,,,,,,,,
818086,,818086,,,,,HC OXISENSOR,70,70,,,,,,,,,,,,,,,,,,
818295,,32555,,,,,HC THORACENTESIS W IMAGING,714,714,,,,,,,,,,,,,,,,,,
818337,,90792,,,,,HC PSYCH DIAG EVAL W MED SRVCS,330,330,0,0,,,,,,,,,,,,,0,,,
818338,,90837,,,,,HC PSYCHOTHERAPY W PT 60 MIN,253,253,,,,,,,,,,,,,,,,,,
818425,,78071,,,,,HC PARATHYROID PLANAR W SPECT,1690,1690,,,,,,,,,,,,,,,,,,
818505,,54056,,,,,HC DEST LESIONS PENIS SIMPLE CRYO,134,134,,,,,,,,,,,,,,,,,,
818569,,A6457,,,,,HC DRSG TUBULAR PER LINEAR YD,174,174,,,,,,,,,,,,,,,,,,
818600,,27768,,,,,HC ED TX FX POST MALEOUS CLOSED W MANIP,896,896,,,,,,,,,,,,,,,,,,
818607,,31603,,,,,HC ED TRACHEOSTOMY EMERG XTRACH,672,672,,,,,,,,,,,,,,,,,,
818609,,90833,,,,,HC PSYCHOTHER 30MIN W PT AND EM SERVICE,199,199,0,0,,,,,,,,,,,,,0,,,
818610,,90836,,,,,HC PSYCHOTHER 45MIN W PT AND EM SERVICE,315,315,,,,,,,,,,,,,,,,,,
818611,,90838,,,,,HC PSYCHOTHER 60MIN W PT AND EM SERVICE,350,350,,,,,,,,,,,,,,,,,,
818612,,90839,,,,,HC PSYCHOTHERAPY FOR CRISIS INITIAL 60 MIN,210,210,,,,,,,,,,,,,,,,,,
818613,,90840,,,,,HC PSYCHOTHERAPY FOR CRISIS EA ADDL 30 MIN,210,210,,,,,,,,,,,,,,,,,,
818614,,90845,,,,,HC PSYCHOANALYSIS,350,350,,,,,,,,,,,,,,,,,,
818723,,36590,,,,,HC ED REMVL TUN CVAD W PT/PP CEN/PER,3706,3706,,,,,,,,,,,,,,,,,,
818727,,99195,,,,,HC ED PHLEBOTOMY THER,312,312,,,,,,,,,,,,,,,,,,
818758,,36425,,,,,HC ED VENIPUNCTURE CUTDOWN >= 1YR,82,82,,,,,,,,,,,,,,,,,,
818766,,Q3014,,,,,HC TELEMEDICINE FACILITY FEE,55,55,,,,,,,,,,,,,,,,,,
818793,,36589,,,,,HC ED REMOVE TUNNEL CVC WO PUMP PORT,2322,2322,,,,,,,,,,,,,,,,,,
819163,,819163,,,,,HC MASK VENTURI,17,17,,,,,,,,,,,,,,,,,,
819449,,92597,,,,,HC EVAL VOICE PROSTH DEVICE,440,440,,,,,,,,,,,,,,,,,,
819490,,11770,,,,,HC ED EXC PILONIDAL CYST SIMPLE,500,500,,,,,,,,,,,,,,,,,,
819496,,20551,,,,,HC ED INJECT TNDN ORIGIN INSERT,172,172,,,,,,,,,,,,,,,,,,
819504,,17999,,,,,HC ED PROC SKIN SUBQ UNLISTED,8885,8885,,,,,,,,,,,,,,,,,,
819626,,97139,,,,,HC SETUP CPM,103,103,,,,,,,,,,,,,,,,,,
819734,,819734,,,,,HC SPLINT HAND,339,339,,,,,,,,,,,,,,,,,,
819827,,819827,,,,,HC CIRCUIT PEDIATRIC BREATHING ANES,91.5,91.5,,,,,,,,,,,,,,,,,,
8243,250,,,,,,DOXAZOSIN MESYLATE 1 MG PO TABS [9894],6,6,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
8254,250,,,,,,SODIUM CHLORIDE 3 % IV SOLN [7321],30,30,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
8265,250,,,,,,TOPIRAMATE 100 MG PO TABS [18922],20.2,20.2,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
8290-306547,,210ORA9999,,,,,SODIUM CHLORIDE 0.9 % IV SOLN (SSM SO) [7319],31,31,,,,,,,,,,,,,,,,,,
830000,,93018,,,,,HP CARD STRESS TEST INTERP RPT ONLY,267,267,30.23,30.23,,,30.23,,,,,,,,,,,,,
830011,,93272,,,,,HP EVENT RECRD SNGL/MULT INTERP/RPT,248.5,248.5,51.92,51.92,,,51.92,,,,,,,,,,,,,
830086,,12031,,,,,HP RPR SCLP/TRNK/EXTREM INTERMED <=2.5 CM,590,590,,,,,,,,,,,,,,,,,,
830157,,94060,,,,,HP BRONCHODILATOR PRE/POST TEST,75.75,75.75,,,,,,,,,,,,,,,,,,
830216,,94010,,,,,HP SPIROMETRY,75.75,75.75,,,,,,,,,,,,,,,,,,
830373,,99221,,,,,HP INITIAL HOSPITAL CARE LEVL I,187,187,87.5,87.5,,,,,,,,,,,,87.5,,,,
830374,,99222,,,,,HP INITIAL HOSPITAL CARE LEVL II,270,270,51.4,118.12,,,,,,,,,,51.4,,118.12,,,,117.91
830375,,99223,,,,,HP INITIAL HOSPITAL CARE LEVL III,332,332,172.6,172.6,,,,,,,,,,,,172.6,,,,
830376,,99231,,,,,HP SUBSEQUENT HOSPITAL CARE LEVL I,94,94,,,,,,,,,,,,,,,,,,
830377,,99232,,,,,HP SUBSEQUENT HOSPITAL CARE LEVL II,135,135,34.22,61.78,,,,,,,,,,34.22,,61.78,,,,61.68
830378,,99233,,,,,HP SUBSEQUENT HOSPITAL CARE LEVL III,187,187,88.77,88.77,,,,,,,,,,,,88.77,,,,
830432,,36680,,,,,HP INTEROSSEOUS NEEDLE PLACEMENT,385.5,385.5,,,,,,,,,,,,,,,,,,
830510,,36400,,,,,HP VENIPUNCTURE FM JG < 3YRS NON ROUTINE,172,172,,,,,,,,,,,,,,,,,,
830511,,36410,,,,,HP VENIPUNCTURE >=3YRS NON ROUTINE,361.5,361.5,,,,,,,,,,,,,,,,,,
830512,,62270,,,,,HP DIAG SPINAL TAP WO CT FL ANES,446.5,446.5,,,,,,,,,,,,,,,,,,
830529,,93010,,,,,HP EKG 12 LEAD INTER & REPORT,50.75,50.75,0,8.52,,,0,,,,,,,,,8.52,,,,
830585,,31500,,,,,HP INTUBATION ENDOTRACHEAL EMERGENT,518.5,518.5,,,,,,,,,,,,,,,,,,
830634,,99217,,,,,HP PHYS OBSV CARE DISCHARGE,146,146,61.68,100.58,,,100.58,,,,,,,,,61.68,,,,
830635,,99218,,,,,HP PHYSCN OBSERVATION INITIAL LOW,187,187,106.23,106.23,,,106.23,,,,,,,,,,,,,
830636,,99219,,,,,HP PHYSCN OBSERVATION INITIAL MOD,247,247,69.55,115.86,,,,,,,,,,69.55,,115.86,,,,
830637,,99220,,,,,HP PHYS OBSV INIT HIGH,322,322,,,,,,,,,,,,,,,,,,
830643,,99238,,,,,HP PHYSCN HOSPTL DISCH DAY MGMT,146,146,61.81,61.96,,,,,,,,,,,,61.81,,,,61.96
830649,,93016,,,,,HP STRESS TEST CARDIAC SUPERVISION ONLY,116,116,45.45,45.45,,,45.45,,,,,,,,,,,,,
830651,,99239,,,,,HP PHYSCN HOSPTL DISCH DAY MGMT>30,174,174,51.57,91.47,,,,,,,,,,51.57,,91.47,,,,
830653,,99234,,,,,HP OBSV OR INPT ADM DC SAME DAY LOW,247,247,,,,,,,,,,,,,,,,,,
830654,,99235,,,,,HP OBSV OR INPT ADM DC SAME DAY MOD,352,352,143.95,143.95,,,,,,,,,,,,143.95,,,,
830655,,99236,,,,,HP OBSV OR IP ADM DC SAME DAY HIGH,437,437,94.2,184.44,,,,,,,,,,94.2,,184.44,,,,
830697,,99304,,,,,HP NURSING FACILITY CARE INIT LOW,192,192,,,,,,,,,,,,,,,,,,
830698,,99305,,,,,HP NURSING FACILITY CARE INIT MOD,291,291,109.76,109.76,,,,,,,,,,,,109.76,,,,
830699,,99306,,,,,HP NURSING FACILITY CARE INIT HIGH,247.75,247.75,,,,,,,,,,,,,,,,,,
830700,,99307,,,,,HP NURSING FAC CARE SUBSEQ LOW,90.5,90.5,37.73,37.73,,,,,,,,,,,,37.73,,,,
830701,,99308,,,,,HP NURSING FAC CARE SUBSEQ MOD,126,126,0,67.41,67.41,,,,,,,,,,,58.69,0,,,
830702,,99310,,,,,HP NURSING FAC CARE SUBSEQ  HI,234.25,234.25,113.66,113.66,,,,,,,,,,,,113.66,,,,
830709,,99315,,,,,HP NURSING FAC DISCHRGE DAY 30 MIN,174.25,174.25,62.06,62.06,,,,,,,,,,,,62.06,,,,
830717,,99316,,,,,HP NURSING FAC DC DAY> 30 MIN SNF,184.75,184.75,90.13,90.13,,,,,,,,,,,,90.13,,,,
830720,,99318,,,,,HP ANNUAL NURSING FAC ASSESS STABLE,251,251,,,,,,,,,,,,,,,,,,
83078-11313,,83078-11313,,,,,CARMEX CLASSIC LIP BALM EX OINT [169746],6,6,,,,,,,,,,,,,,,,,,
830834,,90832,,,,,HP PSYCHOTHERAPY W PT 30 MIN,250,250,,,,,,,,,,,,,,,,,,
830843,,90853,,,,,HP GROUP PSYCHOTHERAPY,415,415,,,,,,,,,,,,,,,,,,
831358,,142,,,,,HP ANS LENS SURGERY,22,22,,,,,,,,,,,,,,,,,,
831365,,300,,,,,HP ANS HEAD NECK POSTERIOR TRUNK,22,22,,,,,,,,,,,,,,,,,,
831366,,320,,,,,HP ANES ESOPHAGUS THYROID LARYNX TRACH,533.75,533.75,,,,,,,,,,,,,,,,,,
831368,,400,,,,,HP ANS SKIN EXTREM PERI ANTERIOR TRUNK,22,22,,,,,,,,,,,,,,,,,,
831378,,532,,,,,HP ANS ACCESS TO CENTRAL VENOUS,22,22,,,,,,,,,,,,,,,,,,
831385,,750,,,,,HP ANS HERNIA REPAIR UPPER ABD NOS,22,22,,,,,,,,,,,,,,,,,,
831386,,752,,,,,HP ANS REPAIR HERNIA UPP LUMBAR VENTRAL,22,22,,,,,,,,,,,,,,,,,,
831388,,790,,,,,HP ANS PROC INTRAPERITONEAL UPPER NOS,22,22,,,,,,,,,,,,,,,,,,
831393,,830,,,,,HP ANS HERNIA REPAIR LOWER ABD NOS,22,22,,,,,,,,,,,,,,,,,,
831394,,832,,,,,HP ANS REPAIR HERNIA VENTRAL INCISIONAL,22,22,,,,,,,,,,,,,,,,,,
831395,,840,,,,,HP ANS PROC INTRAPERITONEAL LOWER NOS,22,22,,,,,,,,,,,,,,,,,,
831403,,902,,,,,HP ANS ANORECTAL PROCEDURE,22,22,,,,,,,,,,,,,,,,,,
831430,,1250,,,,,HP ANES NERVES/MUSCLES/ETC UPPER LEG,22,22,,,,,,,,,,,,,,,,,,
831441,,1400,,,,,HP ANS OPEN ON KNEE JOINT,22,22,,,,,,,,,,,,,,,,,,
